title,company,location,link
"기간제교사(물리,생물,정보)",오산고등학교,서울 용산구,https://kr.indeed.com/viewjob?jk=62585c4922de0318&from=web&vjs=3
[AI Service] Web Front-End 개발자 채용,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=5fe82764604c0b16&from=web&vjs=3
글로벌투자부문 펀드운용팀 대리~과장급 O명,이지스자산운용,서울 영등포구,https://kr.indeed.com/viewjob?jk=04357fb9f3519a3f&from=web&vjs=3
KAIST 기계기술연구소(조천식녹색교통대학원 차량지능 연구실) 연수연구원 모집 공고,카이스트,대전 유성구,https://kr.indeed.com/viewjob?jk=74710635965935f2&from=web&vjs=3
서울특별시 금천구청 자가격리자 관리 기간제 근로자 - 2021. 1. 8.(금) 1. 19. (화) [평일 근무시간(09시18시),금천구청,서울 금천구청역,https://kr.indeed.com/viewjob?jk=46c34ffc2f9916e3&from=web&vjs=3
광고홍보부 소비자 상담 직원 (~1.18),동국제약,서울 강남구,https://kr.indeed.com/viewjob?jk=e817bc18aee1ae08&from=web&vjs=3
음성인식 솔루션 전문기업 IT 기술영업(AI/Solution),에이스파트너스서치펌,서울 강남구,https://kr.indeed.com/viewjob?jk=a94c9c2107ba1cfa&from=web&vjs=3
IT전략/BI 경력직원(~1.17),한국투자신탁운용,대한민국,https://kr.indeed.com/viewjob?jk=3fdbe26237f0b47e&from=web&vjs=3
2020년 현대글로비스 석/박사,현대글로비스,서울 강남구,https://kr.indeed.com/viewjob?jk=aee977c1e820f77a&from=web&vjs=3
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/viewjob?jk=e5448ffc7d6ecf02&from=web&vjs=3
(주)에이쳐 인공지능(AI) 프로그래밍 교육 커리큘럼 기획 및 컨텐츠 개발,에이쳐,용인 처인구,https://kr.indeed.com/viewjob?jk=5500427d043fb085&from=web&vjs=3
CAE 직무 경력사원 (시까지),테스,용인 처인구,https://kr.indeed.com/viewjob?jk=5c20e69de6fedb37&from=web&vjs=3
"Python,파이선 (빅데이터 수요예측 개발)",데이터윙스,서울 영등포구,https://kr.indeed.com/viewjob?jk=abc1558a8be56c7c&from=web&vjs=3
인공지능 기반 지식 서비스 기획 직군,포티투마루,서울 관악구,https://kr.indeed.com/viewjob?jk=6fc5146b37413ff2&from=web&vjs=3
[기술연구소] 품질개발팀 신입/경력,데코페이브,충청북도 단양,https://kr.indeed.com/viewjob?jk=ec267af7644e930b&from=web&vjs=3
(전액무료) 청년장애인 IT 인재육성 씨앗(SIAT) 교육 추가 / 교육부터 취업까지,중앙에이치티에이,성남 수정구,https://kr.indeed.com/viewjob?jk=e36b5d6e4b5e5a88&from=web&vjs=3
BIM Engineer 경력직 채용,SK건설,서울 관훈동,https://kr.indeed.com/viewjob?jk=26794683ed7d259e&from=web&vjs=3
모션 그래픽 / 인터렉션 디자이너 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=fd1d91a186321a48&from=web&vjs=3
안드로이드 앱 개발자,에세텔,대전 유성구,https://kr.indeed.com/viewjob?jk=21cbc0a3f746bd21&from=web&vjs=3
[Vision AI] Stereo 이미지 기반 3D Facial Reconstruction 기술 연구 인력 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=8e0f7474889082ba&from=web&vjs=3
(중견기업) 자동차 부품사 연구팀장 (차/부장급),비에이블컨설팅그룹,충청남도 예산,https://kr.indeed.com/viewjob?jk=f10b140c1e6bbfb4&from=web&vjs=3
[외국계 IT기업] Infrastructure 담당자,TrueHR,서울 강남구,https://kr.indeed.com/viewjob?jk=5b1de2bacfd5ff79&from=web&vjs=3
시니어 Full-stack 리드 개발자,바운티팜,서울 서초구,https://kr.indeed.com/viewjob?jk=6a59a60cd9266826&from=web&vjs=3
"웹개발, ASP 외 신입/경력 정규직",DS소프트,청주 흥덕구,https://kr.indeed.com/viewjob?jk=a6ee0fde8288f28b&from=web&vjs=3
[(주)케이엠에듀] AI(인공지능) 개발자 및 빅데이터 분석 플랫폼 개발 및 운영자,케이엠에듀,서울 금천구,https://kr.indeed.com/viewjob?jk=5a40c1062c719241&from=web&vjs=3
Sr. Application Engineer - ATE Applications,"Cohu, Inc.",경기도 고양,https://kr.indeed.com/viewjob?jk=9666c71cc56c07f8&from=web&vjs=3
프로젝트 매니저,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=6d257c82df9b80a5&from=web&vjs=3
[웹젠노바] 캐릭터기획(경력),웹젠,성남 분당구,https://kr.indeed.com/viewjob?jk=2ab8caa845ae926d&from=web&vjs=3
Industry Consultant_Financial Service,IBM,서울,https://kr.indeed.com/viewjob?jk=2b7a376abaff07b4&from=web&vjs=3
[전문연구요원] AI R&D - Speech AI,엔씨소프트,성남 판교역,https://kr.indeed.com/viewjob?jk=cb26121026233b28&from=web&vjs=3
경험최적화파트 - 머신러닝 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=7bf179a290a157b2&from=web&vjs=3
전자전특화연구센터 전문연구요원(병역특례),광주과학기술원,광주 북구,https://kr.indeed.com/viewjob?jk=9267a561269378c3&from=web&vjs=3
(주)마이셀럽스 총무 & 인사 담당자,마이셀럽스,서울 서초구,https://kr.indeed.com/viewjob?jk=5b32557832544bf3&from=web&vjs=3
[Forest] 네이버 쇼핑 Aggregation 플랫폼 개발 인턴십 ( 연계형),네이버,서울,https://kr.indeed.com/viewjob?jk=5017868cbba80bda&from=web&vjs=3
[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/viewjob?jk=d276e0246539b012&from=web&vjs=3
CAE 직무 경력사원 [저압분자유동해석],테스,용인 처인구,https://kr.indeed.com/viewjob?jk=afe47d6ac770a0ba&from=web&vjs=3
인공지능산업융합사업단 직원,광주과학기술원,광주 북구,https://kr.indeed.com/viewjob?jk=40fce2bb67c67c5a&from=web&vjs=3
"통계·SAS, 설문·리서치·모니터링 외 경력 정규직",로지포커스,서울 성동구,https://kr.indeed.com/viewjob?jk=a756648a86dbe4c9&from=web&vjs=3
글로벌 Alternative Investment팀 (신입),신한비엔피파리바자산운용,대한민국,https://kr.indeed.com/viewjob?jk=b6450ca14df4da63&from=web&vjs=3
JAVA 전문 프로그래머,지엘티코리아,서울 강남구,https://kr.indeed.com/viewjob?jk=69c478938cc3b12e&from=web&vjs=3
